{'eval_loss': 2.0169901847839355, 'eval_model_preparation_time': 0.0023, 'eval_acc': 0.37692511949017526, 'eval_runtime': 15.2213, 'eval_samples_per_second': 494.834, 'eval_steps_per_second': 30.944}
{'eval_loss': 1.9089076519012451, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.4144981412639405, 'eval_runtime': 17.1209, 'eval_samples_per_second': 439.929, 'eval_steps_per_second': 27.51}
{'eval_loss': 1.8475100994110107, 'eval_model_preparation_time': 0.0023, 'eval_acc': 0.4268454593733404, 'eval_runtime': 16.8203, 'eval_samples_per_second': 447.791, 'eval_steps_per_second': 28.002}
{'eval_loss': 1.7737096548080444, 'eval_model_preparation_time': 0.0027, 'eval_acc': 0.44848645778013807, 'eval_runtime': 17.4144, 'eval_samples_per_second': 432.515, 'eval_steps_per_second': 27.047}
{'eval_loss': 1.7250484228134155, 'eval_model_preparation_time': 0.0024, 'eval_acc': 0.468534253850239, 'eval_runtime': 16.7863, 'eval_samples_per_second': 448.7, 'eval_steps_per_second': 28.059}
{'eval_loss': 1.6796058416366577, 'eval_model_preparation_time': 0.003, 'eval_acc': 0.4800849707912905, 'eval_runtime': 16.5952, 'eval_samples_per_second': 453.867, 'eval_steps_per_second': 28.382}
{'eval_loss': 1.652574896812439, 'eval_model_preparation_time': 0.0026, 'eval_acc': 0.5017259691980882, 'eval_runtime': 9.3922, 'eval_samples_per_second': 801.945, 'eval_steps_per_second': 50.148}
{'eval_loss': 1.6233482360839844, 'eval_model_preparation_time': 0.0025, 'eval_acc': 0.5067711099309612, 'eval_runtime': 16.6878, 'eval_samples_per_second': 451.347, 'eval_steps_per_second': 28.224}
{'eval_loss': 1.5922820568084717, 'eval_model_preparation_time': 0.0023, 'eval_acc': 0.522437599575146, 'eval_runtime': 16.4685, 'eval_samples_per_second': 457.358, 'eval_steps_per_second': 28.6}
{'eval_loss': 1.5692936182022095, 'eval_model_preparation_time': 0.0024, 'eval_acc': 0.5440785979819437, 'eval_runtime': 16.6434, 'eval_samples_per_second': 452.552, 'eval_steps_per_second': 28.3}
{'eval_loss': 1.5344675779342651, 'eval_model_preparation_time': 0.0024, 'eval_acc': 0.5562931492299522, 'eval_runtime': 16.9483, 'eval_samples_per_second': 444.41, 'eval_steps_per_second': 27.79}
{'eval_loss': 1.540354609489441, 'eval_model_preparation_time': 0.0025, 'eval_acc': 0.5516463090812533, 'eval_runtime': 16.9487, 'eval_samples_per_second': 444.4, 'eval_steps_per_second': 27.79}
{'eval_loss': 1.510712742805481, 'eval_model_preparation_time': 0.0023, 'eval_acc': 0.5667817312798725, 'eval_runtime': 16.9129, 'eval_samples_per_second': 445.34, 'eval_steps_per_second': 27.849}
{'eval_loss': 1.4881218671798706, 'eval_model_preparation_time': 0.0023, 'eval_acc': 0.5689060010621348, 'eval_runtime': 16.8846, 'eval_samples_per_second': 446.086, 'eval_steps_per_second': 27.895}
{'eval_loss': 1.4769742488861084, 'eval_model_preparation_time': 0.0023, 'eval_acc': 0.5775358470525757, 'eval_runtime': 17.02, 'eval_samples_per_second': 442.538, 'eval_steps_per_second': 27.673}
{'eval_loss': 1.4616516828536987, 'eval_model_preparation_time': 0.0027, 'eval_acc': 0.581651619755709, 'eval_runtime': 16.9948, 'eval_samples_per_second': 443.194, 'eval_steps_per_second': 27.714}
{'eval_loss': 1.4744240045547485, 'eval_model_preparation_time': 0.0023, 'eval_acc': 0.5819171534784918, 'eval_runtime': 14.9631, 'eval_samples_per_second': 503.372, 'eval_steps_per_second': 31.477}
