{'eval_loss': 2.059319257736206, 'eval_model_preparation_time': 0.0027, 'eval_acc': 0.37400424853956454, 'eval_runtime': 8.5205, 'eval_samples_per_second': 883.986, 'eval_steps_per_second': 55.278}
{'eval_loss': 1.9536970853805542, 'eval_model_preparation_time': 0.0026, 'eval_acc': 0.40825809877854485, 'eval_runtime': 8.5972, 'eval_samples_per_second': 876.097, 'eval_steps_per_second': 54.785}
{'eval_loss': 1.8907639980316162, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.4152947424322889, 'eval_runtime': 8.6382, 'eval_samples_per_second': 871.938, 'eval_steps_per_second': 54.525}
{'eval_loss': 1.8171442747116089, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.43348380244291024, 'eval_runtime': 8.6074, 'eval_samples_per_second': 875.057, 'eval_steps_per_second': 54.72}
{'eval_loss': 1.7656563520431519, 'eval_model_preparation_time': 0.0023, 'eval_acc': 0.45698353690918747, 'eval_runtime': 8.6309, 'eval_samples_per_second': 872.678, 'eval_steps_per_second': 54.571}
{'eval_loss': 1.7198011875152588, 'eval_model_preparation_time': 0.0026, 'eval_acc': 0.47716409984067976, 'eval_runtime': 8.66, 'eval_samples_per_second': 869.75, 'eval_steps_per_second': 54.388}
{'eval_loss': 1.6912574768066406, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.48924588422729687, 'eval_runtime': 8.6965, 'eval_samples_per_second': 866.091, 'eval_steps_per_second': 54.159}
{'eval_loss': 1.6649667024612427, 'eval_model_preparation_time': 0.0027, 'eval_acc': 0.490971853425385, 'eval_runtime': 8.7247, 'eval_samples_per_second': 863.295, 'eval_steps_per_second': 53.985}
{'eval_loss': 1.6287950277328491, 'eval_model_preparation_time': 0.0028, 'eval_acc': 0.5107541157727031, 'eval_runtime': 8.7445, 'eval_samples_per_second': 861.346, 'eval_steps_per_second': 53.863}
{'eval_loss': 1.6047523021697998, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.5282793414763675, 'eval_runtime': 8.728, 'eval_samples_per_second': 862.965, 'eval_steps_per_second': 53.964}
{'eval_loss': 1.5700881481170654, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.5467339352097716, 'eval_runtime': 8.708, 'eval_samples_per_second': 864.949, 'eval_steps_per_second': 54.088}
{'eval_loss': 1.5779112577438354, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.5370419543281997, 'eval_runtime': 8.6919, 'eval_samples_per_second': 866.555, 'eval_steps_per_second': 54.188}
{'eval_loss': 1.553829550743103, 'eval_model_preparation_time': 0.0027, 'eval_acc': 0.5484599044078597, 'eval_runtime': 8.6761, 'eval_samples_per_second': 868.137, 'eval_steps_per_second': 54.287}
{'eval_loss': 1.5262025594711304, 'eval_model_preparation_time': 0.0026, 'eval_acc': 0.5561603823685608, 'eval_runtime': 8.6699, 'eval_samples_per_second': 868.757, 'eval_steps_per_second': 54.326}
{'eval_loss': 1.5101571083068848, 'eval_model_preparation_time': 0.0024, 'eval_acc': 0.5658523632501328, 'eval_runtime': 8.6902, 'eval_samples_per_second': 866.725, 'eval_steps_per_second': 54.199}
{'eval_loss': 1.5035216808319092, 'eval_model_preparation_time': 0.0027, 'eval_acc': 0.5685077004779607, 'eval_runtime': 8.7068, 'eval_samples_per_second': 865.066, 'eval_steps_per_second': 54.095}
{'eval_loss': 1.5052365064620972, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.5694370685077005, 'eval_runtime': 8.7007, 'eval_samples_per_second': 865.677, 'eval_steps_per_second': 54.134}
{'eval_loss': 1.5004011392593384, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.5740839086563994, 'eval_runtime': 8.6992, 'eval_samples_per_second': 865.824, 'eval_steps_per_second': 54.143}
{'eval_loss': 1.480093240737915, 'eval_model_preparation_time': 0.0027, 'eval_acc': 0.5868295273499734, 'eval_runtime': 8.7353, 'eval_samples_per_second': 862.245, 'eval_steps_per_second': 53.919}
{'eval_loss': 1.4881349802017212, 'eval_model_preparation_time': 0.0023, 'eval_acc': 0.5885554965480616, 'eval_runtime': 8.728, 'eval_samples_per_second': 862.974, 'eval_steps_per_second': 53.965}
{'eval_loss': 1.4768925905227661, 'eval_model_preparation_time': 0.0028, 'eval_acc': 0.5851035581518853, 'eval_runtime': 8.7007, 'eval_samples_per_second': 865.682, 'eval_steps_per_second': 54.134}
{'eval_loss': 1.4655264616012573, 'eval_model_preparation_time': 0.0026, 'eval_acc': 0.5908125331917153, 'eval_runtime': 8.722, 'eval_samples_per_second': 863.563, 'eval_steps_per_second': 54.001}
{'eval_loss': 1.4503127336502075, 'eval_model_preparation_time': 0.0023, 'eval_acc': 0.5966542750929368, 'eval_runtime': 8.6736, 'eval_samples_per_second': 868.379, 'eval_steps_per_second': 54.302}
{'eval_loss': 1.4460862874984741, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.5985130111524164, 'eval_runtime': 8.7298, 'eval_samples_per_second': 862.793, 'eval_steps_per_second': 53.953}
{'eval_loss': 1.4351999759674072, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.597052575677111, 'eval_runtime': 8.7274, 'eval_samples_per_second': 863.033, 'eval_steps_per_second': 53.968}
{'eval_loss': 1.4406052827835083, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.6013011152416357, 'eval_runtime': 8.7324, 'eval_samples_per_second': 862.533, 'eval_steps_per_second': 53.937}
{'eval_loss': 1.4468119144439697, 'eval_model_preparation_time': 0.0023, 'eval_acc': 0.6024960169941582, 'eval_runtime': 8.7124, 'eval_samples_per_second': 864.517, 'eval_steps_per_second': 54.061}
{'eval_loss': 1.4162793159484863, 'eval_model_preparation_time': 0.0028, 'eval_acc': 0.6103292618162507, 'eval_runtime': 8.7106, 'eval_samples_per_second': 864.695, 'eval_steps_per_second': 54.072}
{'eval_loss': 1.424487829208374, 'eval_model_preparation_time': 0.0023, 'eval_acc': 0.6107275624004248, 'eval_runtime': 8.6417, 'eval_samples_per_second': 871.587, 'eval_steps_per_second': 54.503}
