{'eval_loss': 1.463258147239685, 'eval_model_preparation_time': 0.0095, 'eval_acc': 0.5667817312798725, 'eval_runtime': 79.2098, 'eval_samples_per_second': 95.089, 'eval_steps_per_second': 5.946}
{'eval_loss': 1.3386141061782837, 'eval_model_preparation_time': 0.0096, 'eval_acc': 0.6095326606479022, 'eval_runtime': 78.4931, 'eval_samples_per_second': 95.958, 'eval_steps_per_second': 6.001}
{'eval_loss': 1.258937954902649, 'eval_model_preparation_time': 0.0101, 'eval_acc': 0.6447158789166224, 'eval_runtime': 78.9016, 'eval_samples_per_second': 95.461, 'eval_steps_per_second': 5.969}
{'eval_loss': 1.2338950634002686, 'eval_model_preparation_time': 0.0094, 'eval_acc': 0.6621083377588953, 'eval_runtime': 78.8601, 'eval_samples_per_second': 95.511, 'eval_steps_per_second': 5.973}
{'eval_loss': 1.2091423273086548, 'eval_model_preparation_time': 0.0096, 'eval_acc': 0.6707381837493361, 'eval_runtime': 78.1605, 'eval_samples_per_second': 96.366, 'eval_steps_per_second': 6.026}
{'eval_loss': 1.18182373046875, 'eval_model_preparation_time': 0.0092, 'eval_acc': 0.6776420605416887, 'eval_runtime': 78.7298, 'eval_samples_per_second': 95.669, 'eval_steps_per_second': 5.982}
{'eval_loss': 1.184967279434204, 'eval_model_preparation_time': 0.0096, 'eval_acc': 0.6812267657992565, 'eval_runtime': 78.8378, 'eval_samples_per_second': 95.538, 'eval_steps_per_second': 5.974}
{'eval_loss': 1.1939795017242432, 'eval_model_preparation_time': 0.0095, 'eval_acc': 0.6814922995220393, 'eval_runtime': 79.3247, 'eval_samples_per_second': 94.951, 'eval_steps_per_second': 5.938}
{'eval_loss': 1.1844158172607422, 'eval_model_preparation_time': 0.0095, 'eval_acc': 0.6898566117896973, 'eval_runtime': 78.8884, 'eval_samples_per_second': 95.477, 'eval_steps_per_second': 5.97}
{'eval_loss': 1.1866369247436523, 'eval_model_preparation_time': 0.0093, 'eval_acc': 0.6930430164630909, 'eval_runtime': 78.8746, 'eval_samples_per_second': 95.493, 'eval_steps_per_second': 5.972}
{'eval_loss': 1.1904077529907227, 'eval_model_preparation_time': 0.0096, 'eval_acc': 0.6991502920870951, 'eval_runtime': 79.0171, 'eval_samples_per_second': 95.321, 'eval_steps_per_second': 5.961}
{'eval_loss': 1.2046535015106201, 'eval_model_preparation_time': 0.0096, 'eval_acc': 0.6956983536909187, 'eval_runtime': 79.4221, 'eval_samples_per_second': 94.835, 'eval_steps_per_second': 5.93}
{'eval_loss': 1.2161836624145508, 'eval_model_preparation_time': 0.0099, 'eval_acc': 0.6960966542750929, 'eval_runtime': 79.7071, 'eval_samples_per_second': 94.496, 'eval_steps_per_second': 5.909}
{'eval_loss': 1.2135202884674072, 'eval_model_preparation_time': 0.0097, 'eval_acc': 0.69676048858205, 'eval_runtime': 80.0552, 'eval_samples_per_second': 94.085, 'eval_steps_per_second': 5.883}
{'eval_loss': 1.2147901058197021, 'eval_model_preparation_time': 0.0102, 'eval_acc': 0.699814126394052, 'eval_runtime': 79.6491, 'eval_samples_per_second': 94.565, 'eval_steps_per_second': 5.913}
{'eval_loss': 1.240878939628601, 'eval_model_preparation_time': 0.0097, 'eval_acc': 0.6995485926712692, 'eval_runtime': 79.4712, 'eval_samples_per_second': 94.777, 'eval_steps_per_second': 5.927}
{'eval_loss': 1.2592910528182983, 'eval_model_preparation_time': 0.0095, 'eval_acc': 0.7012745618693574, 'eval_runtime': 79.5208, 'eval_samples_per_second': 94.717, 'eval_steps_per_second': 5.923}
{'eval_loss': 1.219502568244934, 'eval_model_preparation_time': 0.0096, 'eval_acc': 0.7053903345724907, 'eval_runtime': 79.0314, 'eval_samples_per_second': 95.304, 'eval_steps_per_second': 5.96}
{'eval_loss': 1.264265537261963, 'eval_model_preparation_time': 0.0097, 'eval_acc': 0.7067180031864047, 'eval_runtime': 79.1488, 'eval_samples_per_second': 95.162, 'eval_steps_per_second': 5.951}
{'eval_loss': 1.3097501993179321, 'eval_model_preparation_time': 0.0093, 'eval_acc': 0.7057886351566649, 'eval_runtime': 78.5837, 'eval_samples_per_second': 95.847, 'eval_steps_per_second': 5.994}
{'eval_loss': 1.2623833417892456, 'eval_model_preparation_time': 0.0113, 'eval_acc': 0.7047265002655337, 'eval_runtime': 78.581, 'eval_samples_per_second': 95.85, 'eval_steps_per_second': 5.994}
{'eval_loss': 1.2583166360855103, 'eval_model_preparation_time': 0.0124, 'eval_acc': 0.7077801380775358, 'eval_runtime': 78.7065, 'eval_samples_per_second': 95.697, 'eval_steps_per_second': 5.984}
{'eval_loss': 1.2620900869369507, 'eval_model_preparation_time': 0.0096, 'eval_acc': 0.7040626659585767, 'eval_runtime': 78.6349, 'eval_samples_per_second': 95.784, 'eval_steps_per_second': 5.99}
{'eval_loss': 1.2618154287338257, 'eval_model_preparation_time': 0.0096, 'eval_acc': 0.705124800849708, 'eval_runtime': 78.9012, 'eval_samples_per_second': 95.461, 'eval_steps_per_second': 5.969}
{'eval_loss': 1.2821921110153198, 'eval_model_preparation_time': 0.0091, 'eval_acc': 0.7080456718003186, 'eval_runtime': 79.0252, 'eval_samples_per_second': 95.311, 'eval_steps_per_second': 5.96}
{'eval_loss': 1.2707655429840088, 'eval_model_preparation_time': 0.0094, 'eval_acc': 0.709506107275624, 'eval_runtime': 78.8846, 'eval_samples_per_second': 95.481, 'eval_steps_per_second': 5.971}
{'eval_loss': 1.2916327714920044, 'eval_model_preparation_time': 0.0097, 'eval_acc': 0.7084439723844929, 'eval_runtime': 79.3542, 'eval_samples_per_second': 94.916, 'eval_steps_per_second': 5.935}
{'eval_loss': 1.3041337728500366, 'eval_model_preparation_time': 0.0094, 'eval_acc': 0.7079129049389272, 'eval_runtime': 79.2714, 'eval_samples_per_second': 95.015, 'eval_steps_per_second': 5.942}
{'eval_loss': 1.3078513145446777, 'eval_model_preparation_time': 0.0109, 'eval_acc': 0.7118959107806692, 'eval_runtime': 79.4641, 'eval_samples_per_second': 94.785, 'eval_steps_per_second': 5.927}
{'eval_loss': 1.3214205503463745, 'eval_model_preparation_time': 0.0126, 'eval_acc': 0.7104354753053638, 'eval_runtime': 78.9277, 'eval_samples_per_second': 95.429, 'eval_steps_per_second': 5.967}
{'eval_loss': 1.3249506950378418, 'eval_model_preparation_time': 0.0096, 'eval_acc': 0.7080456718003186, 'eval_runtime': 78.9263, 'eval_samples_per_second': 95.431, 'eval_steps_per_second': 5.968}
{'eval_loss': 1.3162764310836792, 'eval_model_preparation_time': 0.0094, 'eval_acc': 0.7118959107806692, 'eval_runtime': 79.2604, 'eval_samples_per_second': 95.029, 'eval_steps_per_second': 5.942}
{'eval_loss': 1.367980718612671, 'eval_model_preparation_time': 0.0114, 'eval_acc': 0.7118959107806692, 'eval_runtime': 80.7338, 'eval_samples_per_second': 93.294, 'eval_steps_per_second': 5.834}
{'eval_loss': 1.3723723888397217, 'eval_model_preparation_time': 0.0095, 'eval_acc': 0.7126925119490175, 'eval_runtime': 80.3503, 'eval_samples_per_second': 93.74, 'eval_steps_per_second': 5.862}
{'eval_loss': 1.3611736297607422, 'eval_model_preparation_time': 0.0099, 'eval_acc': 0.7100371747211895, 'eval_runtime': 80.2578, 'eval_samples_per_second': 93.848, 'eval_steps_per_second': 5.869}
{'eval_loss': 1.3585984706878662, 'eval_model_preparation_time': 0.0102, 'eval_acc': 0.715215082315454, 'eval_runtime': 79.2984, 'eval_samples_per_second': 94.983, 'eval_steps_per_second': 5.94}
{'eval_loss': 1.3693749904632568, 'eval_model_preparation_time': 0.0092, 'eval_acc': 0.7161444503451938, 'eval_runtime': 79.088, 'eval_samples_per_second': 95.236, 'eval_steps_per_second': 5.955}
{'eval_loss': 1.3642098903656006, 'eval_model_preparation_time': 0.0091, 'eval_acc': 0.7093733404142326, 'eval_runtime': 78.8432, 'eval_samples_per_second': 95.531, 'eval_steps_per_second': 5.974}
{'eval_loss': 1.382380723953247, 'eval_model_preparation_time': 0.0097, 'eval_acc': 0.710833775889538, 'eval_runtime': 81.3431, 'eval_samples_per_second': 92.595, 'eval_steps_per_second': 5.79}
{'eval_loss': 1.376899003982544, 'eval_model_preparation_time': 0.0095, 'eval_acc': 0.7107010090281466, 'eval_runtime': 77.8406, 'eval_samples_per_second': 96.762, 'eval_steps_per_second': 6.051}
{'eval_loss': 1.4047914743423462, 'eval_model_preparation_time': 0.0095, 'eval_acc': 0.7096388741370154, 'eval_runtime': 79.1304, 'eval_samples_per_second': 95.185, 'eval_steps_per_second': 5.952}
{'eval_loss': 1.4116398096084595, 'eval_model_preparation_time': 0.0102, 'eval_acc': 0.7083112055231015, 'eval_runtime': 78.7139, 'eval_samples_per_second': 95.688, 'eval_steps_per_second': 5.984}
{'eval_loss': 1.3980244398117065, 'eval_model_preparation_time': 0.0098, 'eval_acc': 0.7138874137015401, 'eval_runtime': 79.6528, 'eval_samples_per_second': 94.56, 'eval_steps_per_second': 5.913}
{'eval_loss': 1.431227684020996, 'eval_model_preparation_time': 0.0094, 'eval_acc': 0.7109665427509294, 'eval_runtime': 79.074, 'eval_samples_per_second': 95.253, 'eval_steps_per_second': 5.956}
{'eval_loss': 1.4288606643676758, 'eval_model_preparation_time': 0.0093, 'eval_acc': 0.7117631439192778, 'eval_runtime': 79.8199, 'eval_samples_per_second': 94.362, 'eval_steps_per_second': 5.901}
{'eval_loss': 1.436949372291565, 'eval_model_preparation_time': 0.0098, 'eval_acc': 0.7156133828996283, 'eval_runtime': 78.9986, 'eval_samples_per_second': 95.343, 'eval_steps_per_second': 5.962}
{'eval_loss': 1.4229764938354492, 'eval_model_preparation_time': 0.0116, 'eval_acc': 0.710833775889538, 'eval_runtime': 79.3756, 'eval_samples_per_second': 94.891, 'eval_steps_per_second': 5.934}
{'eval_loss': 1.4434165954589844, 'eval_model_preparation_time': 0.0092, 'eval_acc': 0.7118959107806692, 'eval_runtime': 79.2011, 'eval_samples_per_second': 95.1, 'eval_steps_per_second': 5.947}
{'eval_loss': 1.4339572191238403, 'eval_model_preparation_time': 0.0091, 'eval_acc': 0.7142857142857143, 'eval_runtime': 78.9737, 'eval_samples_per_second': 95.373, 'eval_steps_per_second': 5.964}
{'eval_loss': 1.4392104148864746, 'eval_model_preparation_time': 0.0093, 'eval_acc': 0.7149495485926712, 'eval_runtime': 79.2848, 'eval_samples_per_second': 94.999, 'eval_steps_per_second': 5.941}
