{'eval_loss': 1.4882941246032715, 'eval_model_preparation_time': 0.0087, 'eval_acc': 0.5586829527349974, 'eval_runtime': 50.4056, 'eval_samples_per_second': 149.428, 'eval_steps_per_second': 9.344}
{'eval_loss': 1.3363028764724731, 'eval_model_preparation_time': 0.0085, 'eval_acc': 0.608072225172597, 'eval_runtime': 51.1872, 'eval_samples_per_second': 147.146, 'eval_steps_per_second': 9.202}
{'eval_loss': 1.2654919624328613, 'eval_model_preparation_time': 0.0096, 'eval_acc': 0.6424588422729687, 'eval_runtime': 50.8033, 'eval_samples_per_second': 148.258, 'eval_steps_per_second': 9.271}
{'eval_loss': 1.240010380744934, 'eval_model_preparation_time': 0.0094, 'eval_acc': 0.6560010621348912, 'eval_runtime': 50.9155, 'eval_samples_per_second': 147.931, 'eval_steps_per_second': 9.251}
{'eval_loss': 1.2130897045135498, 'eval_model_preparation_time': 0.0091, 'eval_acc': 0.6682156133828996, 'eval_runtime': 51.037, 'eval_samples_per_second': 147.579, 'eval_steps_per_second': 9.229}
{'eval_loss': 1.1862212419509888, 'eval_model_preparation_time': 0.0102, 'eval_acc': 0.675385023898035, 'eval_runtime': 51.3677, 'eval_samples_per_second': 146.629, 'eval_steps_per_second': 9.169}
{'eval_loss': 1.1926683187484741, 'eval_model_preparation_time': 0.0086, 'eval_acc': 0.678040361125863, 'eval_runtime': 51.0432, 'eval_samples_per_second': 147.561, 'eval_steps_per_second': 9.227}
{'eval_loss': 1.1958179473876953, 'eval_model_preparation_time': 0.0089, 'eval_acc': 0.6816250663834307, 'eval_runtime': 51.3415, 'eval_samples_per_second': 146.704, 'eval_steps_per_second': 9.174}
{'eval_loss': 1.1862155199050903, 'eval_model_preparation_time': 0.009, 'eval_acc': 0.6899893786510887, 'eval_runtime': 50.913, 'eval_samples_per_second': 147.939, 'eval_steps_per_second': 9.251}
{'eval_loss': 1.184291124343872, 'eval_model_preparation_time': 0.0088, 'eval_acc': 0.6925119490175252, 'eval_runtime': 50.865, 'eval_samples_per_second': 148.078, 'eval_steps_per_second': 9.26}
{'eval_loss': 1.1869851350784302, 'eval_model_preparation_time': 0.009, 'eval_acc': 0.6926447158789166, 'eval_runtime': 51.1798, 'eval_samples_per_second': 147.167, 'eval_steps_per_second': 9.203}
{'eval_loss': 1.1937562227249146, 'eval_model_preparation_time': 0.0091, 'eval_acc': 0.6959638874137015, 'eval_runtime': 51.3318, 'eval_samples_per_second': 146.732, 'eval_steps_per_second': 9.176}
{'eval_loss': 1.1852401494979858, 'eval_model_preparation_time': 0.0088, 'eval_acc': 0.6996813595326606, 'eval_runtime': 51.2093, 'eval_samples_per_second': 147.083, 'eval_steps_per_second': 9.198}
{'eval_loss': 1.1939114332199097, 'eval_model_preparation_time': 0.0087, 'eval_acc': 0.6992830589484864, 'eval_runtime': 51.234, 'eval_samples_per_second': 147.012, 'eval_steps_per_second': 9.193}
{'eval_loss': 1.2018660306930542, 'eval_model_preparation_time': 0.0087, 'eval_acc': 0.7010090281465746, 'eval_runtime': 51.0029, 'eval_samples_per_second': 147.678, 'eval_steps_per_second': 9.235}
{'eval_loss': 1.2288168668746948, 'eval_model_preparation_time': 0.0088, 'eval_acc': 0.7000796601168349, 'eval_runtime': 51.3321, 'eval_samples_per_second': 146.731, 'eval_steps_per_second': 9.176}
{'eval_loss': 1.2442272901535034, 'eval_model_preparation_time': 0.0089, 'eval_acc': 0.7031332979288369, 'eval_runtime': 51.2351, 'eval_samples_per_second': 147.008, 'eval_steps_per_second': 9.193}
{'eval_loss': 1.2165422439575195, 'eval_model_preparation_time': 0.0094, 'eval_acc': 0.7015400955921403, 'eval_runtime': 51.2872, 'eval_samples_per_second': 146.859, 'eval_steps_per_second': 9.184}
{'eval_loss': 1.257106900215149, 'eval_model_preparation_time': 0.0093, 'eval_acc': 0.7041954328199681, 'eval_runtime': 51.297, 'eval_samples_per_second': 146.831, 'eval_steps_per_second': 9.182}
{'eval_loss': 1.2970085144042969, 'eval_model_preparation_time': 0.0105, 'eval_acc': 0.7056558682952735, 'eval_runtime': 51.3084, 'eval_samples_per_second': 146.799, 'eval_steps_per_second': 9.18}
{'eval_loss': 1.2690515518188477, 'eval_model_preparation_time': 0.009, 'eval_acc': 0.7044609665427509, 'eval_runtime': 51.1255, 'eval_samples_per_second': 147.324, 'eval_steps_per_second': 9.213}
{'eval_loss': 1.2694226503372192, 'eval_model_preparation_time': 0.0092, 'eval_acc': 0.7060541688794477, 'eval_runtime': 51.2834, 'eval_samples_per_second': 146.87, 'eval_steps_per_second': 9.184}
{'eval_loss': 1.2675039768218994, 'eval_model_preparation_time': 0.0097, 'eval_acc': 0.7033988316516198, 'eval_runtime': 51.294, 'eval_samples_per_second': 146.84, 'eval_steps_per_second': 9.182}
{'eval_loss': 1.2665468454360962, 'eval_model_preparation_time': 0.0088, 'eval_acc': 0.7069835369091875, 'eval_runtime': 51.0354, 'eval_samples_per_second': 147.584, 'eval_steps_per_second': 9.229}
{'eval_loss': 1.2923582792282104, 'eval_model_preparation_time': 0.0096, 'eval_acc': 0.7023366967604886, 'eval_runtime': 51.5435, 'eval_samples_per_second': 146.129, 'eval_steps_per_second': 9.138}
{'eval_loss': 1.2510629892349243, 'eval_model_preparation_time': 0.0095, 'eval_acc': 0.7056558682952735, 'eval_runtime': 51.1551, 'eval_samples_per_second': 147.238, 'eval_steps_per_second': 9.207}
{'eval_loss': 1.2865055799484253, 'eval_model_preparation_time': 0.0101, 'eval_acc': 0.703797132235794, 'eval_runtime': 51.5939, 'eval_samples_per_second': 145.986, 'eval_steps_per_second': 9.129}
{'eval_loss': 1.2847553491592407, 'eval_model_preparation_time': 0.0091, 'eval_acc': 0.7060541688794477, 'eval_runtime': 51.219, 'eval_samples_per_second': 147.055, 'eval_steps_per_second': 9.196}
{'eval_loss': 1.2918370962142944, 'eval_model_preparation_time': 0.009, 'eval_acc': 0.7103027084439724, 'eval_runtime': 51.7444, 'eval_samples_per_second': 145.562, 'eval_steps_per_second': 9.102}
{'eval_loss': 1.3122636079788208, 'eval_model_preparation_time': 0.009, 'eval_acc': 0.7071163037705789, 'eval_runtime': 51.1541, 'eval_samples_per_second': 147.241, 'eval_steps_per_second': 9.207}
